task_id,type,task,answerable,success_criteria,reference_answer,capable_agents,expected_agents,evidence,required_constraints,inject_faults,source
t01,single,What are the minimum limits of liability required by Virginia law under this auto policy?,True,"{""all"": [{""contains_amount"": 25000}, {""contains_amount"": 50000}, {""contains_amount"": 20000}]}","$25,000 for each person, subject to $50,000 for each accident, for bodily injury; and $20,000 for each accident for property damage.","[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""1. $25,000 for each person, subject to $50,000 for each accident, with respect to bodily injury; and 2. $20,000 for each accident with respect to property damage.""}]",,,lesson3:1
t02,single,How much will the auto insurer pay for bail bonds after a covered accident?,True,"{""contains_amount"": 250}","Up to $250 for the cost of bail bonds required because of an accident, including related traffic law violations, where the accident results in covered bodily injury or property damage.","[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""Up to $250 for the cost of bail bonds required because of any accident, including related traffic law violations. The accident must result in bodily injury or property damage covered under this policy.""}]",,,lesson3:2
t03,single,What is the most the auto policy will pay for damage to a non-owned trailer?,True,"{""contains_amount"": 1500}","$1,500.","[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""13"", ""quote"": ""However, the most we will pay for loss to: 1. Any non-owned auto which is a trailer is $1,500.""}]",,,lesson3:4
t04,single,How long is the illness waiting period on the Embrace pet policy?,True,"{""any"": [{""contains_amount"": 14}, {""contains_any"": [""fourteen""]}]}","Fourteen (14) days, starting from the Pet Original Start Date.","[""researcher""]","[""researcher""]","[{""policy"": ""embrace"", ""page"": ""3"", ""quote"": ""Illness Waiting Period is the fourteen (14) day period of time where the policy’s Coverage is restricted. The Illness Waiting Period starts from the Pet Original Start Date.""}]",,,lesson3:8
t05,single,Is there a separate annual cap on dental illness treatment under the Embrace policy?,True,"{""contains_amount"": 1000}","Yes. Dental Illness treatment is subject to a $1,000 Annual Maximum sub-limit, in addition to the deductible and reimbursement percentage.","[""researcher""]","[""researcher""]","[{""policy"": ""embrace"", ""page"": ""6"", ""quote"": ""eligible Veterinary Treatment expenses caused by Dental Illness, in excess of the Deductible amount, subject to Reimbursement Percentage requirements and a $1,000 Annual Maximum sub-limit""}]",,,lesson3:9
t06,single,How much will the Nationwide pet medical plan pay for specialized diagnostic tests in one policy term?,True,"{""contains_amount"": 750}",No more than seven hundred fifty dollars ($750) per policy term.,"[""researcher""]","[""researcher""]","[{""policy"": ""nationwide"", ""page"": ""2"", ""quote"": ""We will not pay more than seven hundred fifty dollars ($750) in Specialized Diagnostic Tests per policy term.""}]",,,lesson3:14
t07,single,How long do I have to file a claim under the Allianz Florida travel plan?,True,"{""contains_amount"": 90}","90 days from the date of the loss, except as otherwise provided by law.","[""researcher""]","[""researcher""]","[{""policy"": ""travel_fl"", ""page"": ""20"", ""quote"": ""You have 90 days from the date of your loss to submit your claim to us, except as otherwise provided by law.""}]",,,lesson3:20
t08,single,"On the Allianz UK Premier level of cover, what is the maximum for emergency medical expenses?",True,"{""all"": [{""contains_any"": [""10 million"", ""10,000,000"", ""£10m""]}, {""contains_amount"": 50}]}","£10 million, with a policy excess of £50.","[""researcher""]","[""researcher""]","[{""policy"": ""travel_uk"", ""page"": ""6"", ""quote"": ""£10 million £10,000 £20/day up to £300 £75/day up to £750 £2,000 *£50 £50 Nil Nil £50""}]",,,lesson3:24
t09,single,How quickly must the health plan answer a fast appeal?,True,"{""contains_amount"": 72}",Within 72 hours after receiving the appeal.,"[""researcher""]","[""researcher""]","[{""policy"": ""health"", ""page"": ""86"", ""quote"": ""For fast appeals, we must give you our answer within 72 hours after we receive your appeal.""}]",,,lesson3:28
t10,single,"What is the minimum flood deductible for a post-FIRM building with $80,000 of building coverage charged full-risk rates?",True,"{""contains_amount"": 1000}","$1,000: the minimum for post-FIRM buildings with building coverage of $100,000 or less.","[""researcher""]","[""researcher""]","[{""policy"": ""flood"", ""page"": ""§ 61.5"", ""quote"": ""(c) The minimum deductible for policies covering post-FIRM buildings and pre-FIRM buildings charged full risk rates, with building coverage amounts equal to or less than $100,000 is $1,000.""}]",,,lesson3:33
