"task_id","task","success_criteria","reference_answer","type","expected_tools","answerable","","","","","","","","","","","","",""
"t01","If I have a claim for $12,000 for building damage and my deductible is $1,000, what amount will the insurer pay after deductible and 18% VAT?","answer contains '12,980' or '12980' (or accurate math result based on deductible/VAT step)","($12,000 - $1,000) * 1.18 = $12,980","multi_hop","['search_docs', 'calculator']","TRUE","","","","","","","","","","","","",""
"t02","What is the liability limit for bodily injury per person, and how much would the policy pay in total for 3 injured people if each claims the maximum limit?","retrieves bodily injury limit per person and correctly multiplies it by 3 using calculator","Multiplies per-person limit by 3","multi_hop","['search_docs', 'calculator']","TRUE","","","","","","","","","","","","",""
"t03","Does the policy cover water damage, and if so, what is the specific deductible for water pipe leaks?","mentions water damage coverage status AND water pipe leak deductible","Combines water damage coverage terms with deductible clause","multi_hop","['search_docs']","TRUE","","","","","","","","","","","","",""
"t04","Calculate the total annual premium if the base monthly premium is $150 and there is a 5% administrative surcharge added to the annual total.","answer contains '1890' (150 * 12 * 1.05)","150 * 12 = 1800; 1800 * 1.05 = 1890","multi_hop","['calculator']","TRUE","","","","","","","","","","","","",""
"t05","What are the cancellation notice requirements for the insurer, and what percentage of premium is refunded if canceled after 90 days?","cites notice period days AND refund percentage/pro-rata calculation","Combines notice period clauses with refund terms","multi_hop","['search_docs']","TRUE","","","","","","","","","","","","",""
"t06","If medical expenses coverage limit is $25,000 and 3 claims of $10,000, $8,000, and $9,000 are filed, what is the remaining coverage capacity?","answer contains '0' or states limit exceeded by $2,000","25000 - (10000 + 8000 + 9000) = -2000 (Limit reached)","multi_hop","['search_docs', 'calculator']","TRUE","","","","","","","","","","","","",""
"t07","Hello! What kind of tasks can you help me with today?","tool_calls == 0 and provides clear overview of capabilities","Greeting response listing available services without calling tools.","no_tool","[]","TRUE","","","","","","","","","","","","",""
"t08","Can you summarize the advice you just provided in our previous sentence?","tool_calls == 0","Direct conversational summary without tool invocation.","no_tool","[]","TRUE","","","","","","","","","","","","",""
"t09","What is the general purpose of an insurance policy deductible?","tool_calls == 0","General knowledge explanation of insurance deductibles without specific doc retrieval.","no_tool","[]","TRUE","","","","","","","","","","","","",""
"t10","What is the policy owner's personal credit score required for coverage approval?","refused == True","Refusal statement that credit score requirements are not mentioned in the corpus.","unanswerable","['search_docs']","FALSE","","","","","","","","","","","","",""
"t11","Does this insurance policy cover damage caused by orbital space debris impact in 2027?","refused == True","Clean refusal after bounded search.","unanswerable","['search_docs']","FALSE","","","","","","","","","","","","",""
"t12","What is the exact repair cost for a 2024 Tesla Model Y bumper at Dan's Auto Shop in Tel Aviv?","refused == True","Refusal stating specific shop repair costs are unavailable.","unanswerable","['search_docs']","FALSE","","","","","","","","","","","","",""
"t13","Search for policy clause 99.B regarding flood coverage.","refused == True or states service unavailable without hallucinating","Graceful failure message indicating tool failure.","tool_fails","['search_docs']","FALSE","","","","","","","","","","","","",""
"t14","Calculate the compound interest on $5,000 at 4% for 3 years.","refused == True or reports calculation service failure without guessing","Graceful error handling when calculator tool fails.","tool_fails","['calculator']","FALSE","","","","","","","","","","","","",""
"t15","What is the minimum limit of liability for property damage under Virginia law in this policy?","cites exact dollar limit for property damage under VA law","Refers to specific liability amount from policy text.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t16","What is the standard deductible for collision coverage under this policy?","cites exact collision deductible dollar amount","Collision deductible dollar amount.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t17","How many days does the insured have to report a new vehicle acquisition?","contains correct number of days (e.g., 14 or 30 days)","Reporting window in days.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t18","Are custom equipment and non-factory modifications covered under Part D?","states coverage limitations/exclusions for custom equipment","Explanation of custom equipment coverage limits.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t19","What constitutes an 'insured person' under Part A - Liability Coverage?","lists definitions of insured person (family members, permissive users)","Definition list of insured parties.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t20","What is 4500 divided by 12?","answer contains '375'","375","single","['calculator']","TRUE","","","","","","","","","","","","",""
"t21","Does comprehensive coverage pay for windshield repair without a deductible?","states policy terms regarding glass repair deductible waiver","Windshield deductible policy rule.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t22","What geographical territory is covered under the policy conditions?","mentions covered regions (e.g., USA, territories, Canada)","Policy territory definitions.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t23","What is the grace period for late premium payments before policy cancellation?","states grace period duration in days","Payment grace period days.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t24","Does the policy cover towing and labor costs by default?","states whether towing is included automatically or requires endorsement","Towing coverage status.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"t25","What happens if an accident occurs in a state with higher financial responsibility limits than this policy?","explains Out-of-State Coverage provision (limits automatically adjust)","Out-of-state coverage adjustment clause.","single","['search_docs']","TRUE","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
